"GeoFIPS","GeoName","LineCode","IndustryClassification","Description","Unit","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","fema_declaration_string","disaster_number","declaration_type","declaration_date","fy_declared","incident_type","declaration_title","tornado_alley","gdp_change","region_name"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"FM-2276-AL",2276,"FM","1999-09-18T00:00:00Z",1999,"Fire","Al - Jackson Farms Fire - 09/18/99","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"FM-2283-AL",2283,"FM","1999-09-24T00:00:00Z",1999,"Fire","Al - Martin School Fire - 09/18/1999","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"DR-1317-AL",1317,"DR","2000-02-18T00:00:00Z",2000,"Severe Storm","Severe Winter Storms","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"DR-1322-AL",1322,"DR","2000-03-17T00:00:00Z",2000,"Severe Storm","Severe Storms And Flooding","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"FM-2339-AL",2339,"FM","2000-09-17T00:00:00Z",2000,"Fire","Al - County Line Fire - 09/17/2000","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"DR-1352-AL",1352,"DR","2000-12-18T00:00:00Z",2001,"Severe Storm","Severe Storms And Tornadoes","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"DR-1362-AL",1362,"DR","2001-03-05T00:00:00Z",2001,"Severe Storm","Severe Storms And Flooding","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"FM-2395-AL",2395,"FM","2001-11-20T00:00:00Z",2002,"Fire","Al - North East Alabama Fire Complex - 11/20/2001","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"DR-1399-AL",1399,"DR","2001-12-07T00:00:00Z",2002,"Severe Storm","Severe Storms And Tornadoes","No",68763.6,"Southeast"
" 01000","Alabama",1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,"DR-1438-AL",1438,"DR","2002-10-09T00:00:00Z",2003,"Hurricane","Tropical Storm Isidore","No",68763.6,"Southeast"
