"State","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","category","region_name"
"Mississippi",55.8,56.6,61.45,61.4,69.8,62.6,64.1,65.7,64,66.2,68.3,64.7,60.7,63.7,58.6,60.1,57.1,59.8,61.3,62.3,60.5,63.2,62.5,63.1,0,0,NA,"carbon","Southeast"
"Missouri",126,131,131.59,126.7,132.54,133.2,140.7,141.8,144.5,143.1,141.6,138.4,132.1,136.9,136.8,129.1,133.9,133.5,124.7,119,124.5,124.8,117,108.7,0,0,NA,"carbon","Midwest"
"Montana",29.9,32.1,32.83,31.8,32.06,31,33.2,34.8,35.9,36,38,37.2,33.1,35,32.1,30.8,32.1,32.6,32.5,31.1,31.3,31.3,32.3,26.2,0,0,NA,"carbon","West"
"Nebraska",40.9,42.9,41.73,41.7,42.91,42.3,43.6,43.4,43.8,44.3,44.6,46.6,47.3,50,52.4,50.6,53.5,52.2,50.7,48.4,47.9,52.4,50.5,46.5,0,0,NA,"carbon","Midwest"
"Nevada",38.2,40.8,41.43,45.6,44.8,41.7,44,48.1,50.2,41.7,41.8,41,39.5,41.4,37.9,37.9,39.7,40.6,38.5,40,40.2,41.4,41.7,36.2,0,0,NA,"carbon","West"
"New Hampshire",16.5,16.5,16.7,17.5,16.96,17.7,21,22,21.3,19.4,19.2,18.7,17.1,16.8,16.4,14.7,14.4,15.2,15.3,13.8,13.5,14.2,13.9,12.4,0,0,NA,"carbon","Northeast"
"New Jersey",125.5,120.9,124.24,124.6,121.33,121,123.5,126.1,130.6,123.1,130.8,128.3,111.5,105.6,105,99,100.4,104.9,103.7,105.6,99.4,105.1,100.8,83.8,0,0,NA,"carbon","Northeast"
"New Mexico",55.8,55.4,56.3,58.3,58.39,55.5,57.9,58.9,59.5,60.4,59,56.8,57.7,53.9,56.3,54.2,53.8,50.6,50.7,48.8,49.6,45.9,48.9,45.2,0,0,NA,"carbon","West"
"New York",204.2,203.1,205.73,212.2,207.97,202.2,213,215.4,211.5,193.8,199.9,190.1,174.1,185,175.3,167.9,169.1,176.2,174.4,170.2,165.8,175.1,169,143.4,0,0,NA,"carbon","Northeast"
"North Carolina",142.3,142.1,140.78,149.1,144.31,145.6,147.2,150.2,154.2,148.6,154.4,149,133,147.2,132.6,124.5,126.2,129.3,124.8,124.9,121.1,124.2,122.6,106.5,0,0,NA,"carbon","Southeast"
"North Dakota",47.6,48.8,49.87,51.3,52.01,51.9,51.7,50.1,53,51.3,53,53.4,52,52.8,54.3,56.7,57.2,59.3,57.9,54.9,56.9,59.3,57.2,54.3,0,0,NA,"carbon","Midwest"
"Ohio",261.4,260.7,259.86,266.7,256.92,262.8,270.7,265.9,271.9,265.3,271.3,264.8,239.7,247.2,235.1,214.9,228,229.7,211.2,205.3,205.1,209,196.7,185.6,0,0,NA,"carbon","Midwest"
"Oklahoma",98.6,97.1,96.19,100.2,101.46,101.6,104.2,99.7,106.4,109.2,109.4,112,106.2,105.8,106.9,104.7,103,104.5,100.3,96.1,93.4,98,90.8,83.7,0,0,NA,"carbon","Southwest"
"Oregon",35.9,41.6,43.16,41.5,40.63,39.1,39.8,40.7,41.1,40.3,43.7,42.6,40.8,40.6,37,36.7,39,37.8,37.9,37.7,38.8,39.6,41.8,37.5,0,0,NA,"carbon","West"
"Pennsylvania",276.9,266.3,264.87,278.5,265.05,271.9,276.3,279.2,281.6,275.6,278.6,269.9,245.3,256.1,249.7,239.8,249.5,249.4,232.9,218,215.3,220.2,218.7,193.2,0,0,NA,"carbon","Northeast"
"Rhode Island",13.6,13.8,13.13,11.8,12.29,11.7,11.6,11,11.2,10.5,11.1,10.6,11.2,11,11,10.5,10.1,10.5,10.8,9.6,10,11.1,10.4,9.8,0,0,NA,"carbon","Northeast"
"South Carolina",71.5,75,78.64,82,80.42,81.8,82.8,90.3,88.6,89.2,89.4,87,82.1,85.9,81.2,74.5,70.2,74.7,73.4,72.3,70,74.1,69.4,63.5,0,0,NA,"carbon","Southeast"
"South Dakota",13.3,12.8,13.45,14.2,13.5,13.8,13.8,13.8,13.3,13.4,13.9,14.9,14.7,15.1,14.6,14.9,15.4,15.4,14.1,14.8,14.7,15.5,16,14.9,0,0,NA,"carbon","Midwest"
"Tennessee",122.8,122,122.85,128.7,127.22,126.4,125.1,127.2,128.3,129.9,129.1,122.5,101.9,109.3,105.5,99,97.3,102.5,98.7,101.4,97.4,93.8,92.2,83.3,0,0,NA,"carbon","Southeast"
"Texas",649.6,656.4,646.75,672.9,666.8,678.1,671.1,670.5,644.9,648.3,646.1,623.6,590.4,615.4,634.9,627,657.7,661.9,655.1,656.7,665,684.7,683.2,624,0,0,NA,"carbon","Southwest"
"Utah",61.1,63.6,62.45,65.4,63.19,62.6,63.6,66,67.5,68.8,70.7,69.8,65.1,64,64.5,61.6,66.5,65.3,63.6,58.8,59,61.2,61.5,57.4,0,0,NA,"carbon","West"
"Vermont",6.5,6.3,6.51,6.8,6.62,6.4,6.7,7.1,6.8,6.7,6.5,5.9,6.2,5.9,5.8,5.5,5.7,5.9,6.1,5.9,5.8,5.9,6,5.4,0,0,NA,"carbon","Northeast"
"Virginia",110,111.9,113.93,123.3,120.83,119.3,124.1,127.7,129.4,123,128.2,116.8,105.9,111.9,102.5,98.6,105.8,107.4,107.6,110.1,105.6,110.1,106.8,98.2,0,0,NA,"carbon","Southeast"
"Washington",79.5,84.2,85.67,84.3,79.63,73.3,75.7,77.6,79.2,77,82.1,79.2,76.9,73.4,68.9,67.9,73.8,72.5,75.1,79.4,79.1,78.7,84.2,68.4,0,0,NA,"carbon","West"
"West Virginia",111.2,115.3,116.44,115.7,105.67,118.7,115.4,112.7,114.7,114.8,117,112.7,90.1,100.6,97.9,92.1,94.3,99.9,92,94.5,90.8,89.1,85.4,76.9,0,0,NA,"carbon","Southeast"
"Wisconsin",103.1,101.1,105.41,107.8,105.9,107.1,105.6,107.8,111,103.1,104.8,105.3,96.4,99,98.2,90.9,101.3,101.2,99.9,95.6,98.6,101.2,94.8,87,0,0,NA,"carbon","Midwest"
"Wyoming",59.1,64,62.53,63.5,63.72,62.5,64.5,64.4,63.7,64.5,66.8,67.2,64.1,65.6,64.5,66.7,68.9,65.9,64.1,61.3,62.8,63.8,59.1,55.6,0,0,NA,"carbon","West"
